Coder,ID,Timestamp,Who?,What?,Re Who?,To Whom?,,,,,,,,,,,,
SM,C107 F412 SM1,00:11:00.0,CHW,GINFO+,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:11:12.0,CG,SUP,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:11:16.0,CG,HUPW,FAM,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:11:21.0,PT,HUPW,Y,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:11:26.0,PT,HUPW,FAM,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:11:27.0,CG,HUPW,FAM,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:11:30.0,PT,HUPW,FAM,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:11:33.0,CG,HUPW,FAM,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:11:34.0,CHW,SO,CHW,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:11:36.0,CG,HUPW,FAM,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:11:41.0,CHW,SO,CHW,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:11:42.0,PT,HUPW,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:11:43.0,CG,LUP+,CG,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:11:44.0,CHW,GINFO+,WE,B,,,,,,,,,,,,
SM,C107 F412 SM1,00:12:02.0,CG,HUPW,CG,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:12:06.0,O,HUPI,O,NO,,,,,,,,,,,,
SM,C107 F412 SM1,00:12:07.0,CG,CHT-,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:12:11.0,CHW,GINFO+,CG,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:12:13.0,CG,HUPW,FAM,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:12:15.0,PT,HUPW,Y,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:12:16.0,CG,CHT-,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:12:18.0,PT,CHT-,Y,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:12:19.0,CG,CHT+,CG,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:12:27.0,PT,HUPW,Y,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:12:30.0,CG,HUPW,CG,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:12:33.0,PT,HUPW,Y,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:12:36.0,CHW,GINFO-,CHW,B,,,,,,,,,,,,
SM,C107 F412 SM1,00:12:38.0,PT,HUPW,Y,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:12:39.0,CG,HUPW,CG,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:12:41.0,PT,CHT-,Y,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:12:42.0,CG,HUPO,O,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:12:47.0,CHW,SO,CHW,B,,,,,,,,,,,,
SM,C107 F412 SM1,00:12:49.0,PT,HUPW,CG,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:12:53.0,CG,HUPW,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:12:54.0,PT,HUPW,Y,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:12:56.0,CG,HUPW,CG,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:13:12.0,CHW,ROS,CHW,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:13:13.0,CG,HUPW,CHW,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:13:22.0,CHW,SS,WE,B,,,,,,,,,,,,
SM,C107 F412 SM1,00:13:22.1,CHW,GINFO-,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:13:34.0,PT,LUP+,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:13:35.0,CHW,OQECHT+,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:13:46.0,PT,CHT+,O,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:13:59.0,CHW,RCHT+S,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:14:01.0,PT,LUP+,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:14:02.0,CG,HUPW,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:14:03.0,CHW,GINFO+,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:14:07.0,PT,CHT+,O,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:14:10.0,CHW,AFL,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:14:10.1,CHW,GINFO+,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:14:20.0,PT,CHT+,O,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:14:21.0,CHW,RCHT+S,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:14:21.1,CHW,GINFO+,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:15:24.0,PT,LUP+,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:15:26.0,CHW,CQTBN,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:15:38.0,PT,LUP+,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:15:41.0,CHW,GINFO+,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:15:41.1,CHW,OQECHT+,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:16:18.0,PT,CHT+,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:16:28.0,CHW,CQECHT+,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:16:32.0,PT,CHT+,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:16:35.0,CHW,AFL,CHW,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:16:37.0,CG,HUPW,O,CHW,,,,,,,,,,,,
